"SCS","ISC","NRUSC","tRU","requiredSNR","IRU","NRU","ITBS","Qm","TBS","numTrBlks","NRep","SNR","BLER","TTI","pathloss","datarate","bandwidth"
3750,0,1,32,-5.7403,3,4,3,2,936,100,2,7,0.06,256,151,3.65625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,2,6,0.08,256,152,3.65625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,2,5,0.09,256,153,3.65625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,4,0.03,512,154,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,3,0,512,155,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,2,0.03,512,156,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,1,0.03,512,157,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,0,0.09,512,158,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,-1,0.05,512,159,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,-2,0.02,512,160,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,-3,0.04,512,161,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,-4,0.06,512,162,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,-5,0.03,512,163,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,-6,0.01,512,164,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,936,100,4,-7,0.04,512,165,1.828125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,2,14,0,256,144,3.90625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,2,13,0,256,145,3.90625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,2,12,0.04,256,146,3.90625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,2,11,0.02,256,147,3.90625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,2,10,0.04,256,148,3.90625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,2,9,0.02,256,149,3.90625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,2,8,0.04,256,150,3.90625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,2,7,0.07,256,151,3.90625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,2,6,0.1,256,152,3.90625,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,5,0,512,153,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,4,0.02,512,154,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,3,0.01,512,155,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,2,0.04,512,156,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,1,0.04,512,157,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,0,0.04,512,158,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,-1,0.03,512,159,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,-2,0.08,512,160,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,-3,0.04,512,161,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,-4,0.02,512,162,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,-5,0.06,512,163,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,3,2,1000,100,4,-6,0.03,512,164,1.953125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,1,12,0,128,146,2.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,1,11,0,128,147,2.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,1,10,0.02,128,148,2.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,1,9,0.01,128,149,2.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,1,8,0.01,128,150,2.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,1,7,0.02,128,151,2.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,1,6,0.07,128,152,2.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,1,5,0.03,128,153,2.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,1,4,0.02,128,154,2.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,1,3,0.07,128,155,2.5625,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,2,2,0.03,256,156,1.28125,"3,75"
3750,0,1,32,-5.7403,3,4,4,2,328,100,2,1,0.07,256,157,1.28125,"3,75"
